,@id,@type,rdfs:label.de,rdfs:label.pt,rdfs:label.en,rdfs:label.it,rdfs:label.fr,rdfs:label.nl,rdfs:label.es
5,kb:Trail,['SportsTheme'],['Trail'],['Pista'],['Trail'],['Trail'],['Trail'],['Trailrunning'],['Pista']
6,kb:ViaCordata,['SportsTheme'],['Via Cordata'],['Via cordata'],['Via cordata'],['Via cordata'],['Via cordata'],['Via cordata'],['Vía cordata']
2,kb:Mountaineering,['SportsTheme'],['Bergsteigen'],['Alpinismo'],['Mountaineering'],['Alpinismo'],['Alpinisme'],['Alpinisme'],['Alpinismo']
3,kb:SkiTouring,['SportsTheme'],['Skitouren'],['Esqui de caminhada'],['Ski touring'],['Sci alpinismo'],['Ski de randonnée'],['Toerskiën'],['Esquí de travesía']
4,kb:ViaFerrata,['SportsTheme'],['Klettersteig'],['Via ferrata'],['Via ferrata'],['Via ferrata'],['Via ferrata'],['Via ferrata'],['Vía ferrata']
0,kb:CanoeingKayaking,['SportsTheme'],['Kanu-Kajakfahren'],['Canoa caiaque'],['Canoeing-kayaking'],['Canoismo'],['Canoé kayak'],['Kano/kajak'],['Piraguas y kayak']
0,kb:ATV,['SportsTheme'],['MTB'],['Bicicleta-todo-o-terreno (BTT)'],['Atv'],['Mountain bike'],['Vtt'],['Mountainbike'],['BTT']
2,kb:Bike,['SportsTheme'],['Fahrrad'],['Bicicleta'],['Bike'],['Bicicletta'],['Vélo'],['Fiets'],['Bicicleta']
6,kb:Orienteering,['SportsTheme'],['Ausrichtung'],['Orientação'],['Orienteering'],['Orientamento'],['Orientation'],['Oriëntatie'],['Orientación']
9,kb:Snowshoes,['SportsTheme'],['Schneeschuhe'],['Raquetas'],['Snowshoes'],['Racchette da neve'],['Raquettes'],['Sneeuwschoenen'],['Raquetas']
10,kb:Wintersports,['SportsTheme'],['Wintersport'],['Desportos de inverno'],['Winter sports'],['Sport invernali'],"[""Sports d'hiver""]",['Wintersport'],['Deportes de invierno']
0,kb:Catamaran,['SportsTheme'],['Katamaran'],['Catamarã'],['Catamaran'],['Catamarano'],['Catamaran'],['Catamaran'],['Catamarán']
